Initial Configuration,Initial term,Initial J,Final configuration,Final term,Final J,Wavelength (nm),Wavelength error (nm),Wavelength w/uncertainty (nm),Matrix element (a.u),Matrix el. uncertainty (a.u),Matrix el. w/uncertainty (a.u),Transition rate (s-1),Transition rate uncertainty,Transition rate w/uncertainty (s-1),Branching ratio,Branching ratio uncertainty,Branching ratio w/uncertainty,Lifetime reference,Matrix Element Reference
10p,2P,1/2,7s,2S,1/2,1871.8134,0.005,1871.813(5),0.4276973,0.0056546,0.4277(57),28256.782196882767,747.1677186094726,2.826(75)E+04,0.03504525536231039,0.001009473758379599,0.0350(10),,
10p,2P,3/2,7s,2S,1/2,1869.2557,0.0049,1869.256(5),0.679918,0.0056731,0.6799(57),35852.07363862953,598.2851506917038,3.585(60)E+04,0.04148316846156353,0.0008423210274745,0.04148(84),,
11p,2P,1/2,7s,2S,1/2,1723.51,0.0042,1723.510(4),0.287802,0.003707,0.2878(37),16390.17062714448,422.22336857614084,1.639(42)E+04,0.029214332794025844,0.000815744854501259,0.02921(82),,
11p,2P,3/2,7s,2S,1/2,1722.035,0.0042,1722.035(4),0.4624408,0.0037506,0.4624(38),21212.590272827387,344.0870665885781,2.121(34)E+04,0.03534128267525611,0.0006903396058280163,0.03534(69),,
12p,2P,1/2,7s,2S,1/2,1633.4363,0.0136,1633.44(1),0.2128663,0.0022856,0.2129(23),10532.81648613288,226.18725129868133,1.053(23)E+04,0.025924790194796418,0.0006230625194232681,0.02592(62),,
12p,2P,3/2,7s,2S,1/2,1632.4923,0.0136,1632.49(1),0.3445257,0.0036276,0.3445(36),13819.651891936568,291.0215668045384,1.382(29)E+04,0.031841979644116385,0.0007396387959223164,0.03184(74),,
13p,2P,1/2,7s,2S,1/2,1573.9126,0.0126,1573.91(1),0.1664648,0.0020561,0.1665(21),7200.129567705782,177.8657518050275,7.20(18)E+03,0.023771990003021482,0.0006454810371965123,0.02377(65),,
13p,2P,3/2,7s,2S,1/2,1573.2688,0.0126,1573.27(1),0.2707648,0.0031605,0.2708(32),9536.3669007888,222.62645330841153,9.54(22)E+03,0.029501102958289536,0.0007503688466517727,0.02950(75),,
7p,2P,1/2,4d,2D,3/2,1179.3328,0.002,1179.333(2),1.0692542,0.0183221,1.069(18),706138.9271735299,24199.948300661054,7.06(24)E+05,0.1959713066160602,0.007697888202478612,0.1960(77),,
7p,2P,1/2,5d,2D,3/2,4684.973,0.031,4684.97(3),10.702815,0.430039,10.70(43),1128527.2746112472,90688.43205331903,1.129(91)E+06,0.3131946930650926,0.017831458186214972,0.313(18),,
6d,2D,3/2,7p,2P,1/2,11735.6154,0.1948,11735.6(2),31.41796,0.047174,31.418(47),309346.83685263817,929.0949472411789,3.0935(93)E+05,0.08141658809565855,0.0036989033464768927,0.0814(37),,
7d,2D,3/2,7p,2P,1/2,4089.824,0.0237,4089.82(2),1.8054383,0.1131065,1.81(11),24135.636979421834,3024.0827950642433,2.41(30)E+04,0.008360866705704548,0.0010742562764923986,0.0084(11),,
8d,2D,3/2,7p,2P,1/2,2952.971,0.0123,2952.97(1),1.566755,0.0508802,1.567(51),48287.19250260462,3136.2428170856597,4.83(31)E+04,0.02308543432759355,0.001582291763844406,0.0231(16),,
